provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id
Carnivory,,eatenBy,http://purl.obolibrary.org/obo/RO_0002471
Commensalism,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
Detritivory,,eatenBy,http://purl.obolibrary.org/obo/RO_0002471
Disease,,hasPathogen,http://purl.obolibrary.org/obo/RO_0002557
Dispersal Vector,,vectorOf,http://purl.obolibrary.org/obo/RO_0002459
Ectoparasitism,,hasEctoparasite,http://purl.obolibrary.org/obo/RO_0002633
Ectosymbiosis,,symbiontOf,http://purl.obolibrary.org/obo/RO_0002440
Endoparasitism,,hasEndoparasite,http://purl.obolibrary.org/obo/RO_0002635
Endosymbiosis,,symbiontOf,http://purl.obolibrary.org/obo/RO_0002440
Frugivory,,eatenBy,http://purl.obolibrary.org/obo/RO_0002471
Herbivory,,eatenBy,http://purl.obolibrary.org/obo/RO_0002471
Hyperparasitism,,hyperparasiteOf,http://purl.obolibrary.org/obo/RO_0002553
Mutualism,,mutualistOf,http://purl.obolibrary.org/obo/RO_0002442
Parasitism,,parasiteOf,http://purl.obolibrary.org/obo/RO_0002444
Pollination,,pollinatedBy,http://purl.obolibrary.org/obo/RO_0002456
Symbiosis,,symbiontOf,http://purl.obolibrary.org/obo/RO_0002440
